window: 10ms, time: 350.2µs, drift: -1.7948ms
window: 10ms, time: 318.4µs, drift: -1.9034ms
window: 10ms, time: 397.1µs, drift: -2.2173ms
window: 10ms, time: 349.8µs, drift: -1.7343ms
window: 10ms, time: 387µs, drift: -1.7938ms
window: 10ms, time: 383.9µs, drift: -1.9467ms
Midi callback drift: -901µs
Midi callback drift: -656µs
Midi callback drift: -424µs
Midi callback drift: -1.158ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 1.6069ms, drift: -3.4401ms
window: 10ms, time: 380.2µs, drift: -1.564ms
window: 10ms, time: 320.2µs, drift: -1.7413ms
window: 10ms, time: 381.8µs, drift: -1.8859ms
window: 10ms, time: 394.2µs, drift: -1.9629ms
window: 10ms, time: 337.5µs, drift: -2.1764ms
window: 10ms, time: 319.2µs, drift: -1.5288ms
window: 10ms, time: 381.5µs, drift: -1.8103ms
window: 10ms, time: 310.7µs, drift: -1.9211ms
window: 10ms, time: 319.3µs, drift: -1.8478ms
window: 10ms, time: 350µs, drift: -1.7094ms
window: 10ms, time: 429.3µs, drift: -2.4207ms
Midi callback drift: -974µs
Midi callback drift: -424µs
Midi callback drift: -1.071ms
Midi callback drift: -741µs
Midi callback drift: -463µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 422.8µs
window: 10ms, time: 2.3861ms, drift: -3.8583ms
window: 10ms, time: 372.7µs, drift: -1.9148ms
window: 10ms, time: 385.7µs, drift: -1.9867ms
window: 10ms, time: 381µs, drift: -2.0359ms
window: 10ms, time: 438.1µs, drift: -2.1622ms
window: 10ms, time: 447.3µs, drift: -2.1529ms
window: 10ms, time: 404.2µs, drift: -2.1037ms
window: 10ms, time: 368.9µs, drift: -1.7916ms
window: 10ms, time: 362.4µs, drift: -1.8376ms
window: 10ms, time: 322.5µs, drift: -1.7461ms
window: 10ms, time: 258.9µs, drift: -1.3906ms
window: 10ms, time: 429.9µs, drift: -2.2001ms
Midi callback drift: -1.079ms
Midi callback drift: -755µs
Midi callback drift: -1.568ms
Midi callback drift: -224µs
Midi callback drift: -910µs
Midi callback drift: -350µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 422.8µs
Message time diff: 422.8µs
Message time diff: -577.2µs
window: 10ms, time: 1.8915ms, drift: -3.2808ms
window: 10ms, time: 381.1µs, drift: -1.6598ms
window: 10ms, time: 479.7µs, drift: -2.1963ms
window: 10ms, time: 502.1µs, drift: -2.4117ms
window: 10ms, time: 331.4µs, drift: -1.8275ms
window: 10ms, time: 390.1µs, drift: -1.835ms
window: 10ms, time: 454.3µs, drift: -1.8804ms
window: 10ms, time: 430.1µs, drift: -1.7881ms
window: 10ms, time: 519.5µs, drift: -2.4308ms
window: 10ms, time: 478.7µs, drift: -1.9987ms
window: 10ms, time: 454.5µs, drift: -2.0893ms
window: 10ms, time: 331.7µs, drift: -1.8131ms
Midi callback drift: -727µs
Midi callback drift: -380µs
Midi callback drift: -59µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 2.2176ms, drift: -3.9559ms
window: 10ms, time: 308.9µs, drift: -1.8341ms
window: 10ms, time: 372.5µs, drift: -2.2018ms
window: 10ms, time: 410.3µs, drift: -2.0618ms
window: 10ms, time: 338.7µs, drift: -2.0313ms
window: 10ms, time: 337.7µs, drift: -1.8092ms
